number,value,datetime_start,datetime_complete,duration,params_batch_size,params_classifier_hidden_mult,params_dropout,params_focal_gamma,params_hidden_size,params_input_dropout,params_label_smoothing,params_lr,params_lstm_out_dropout,params_num_layers,params_weight_decay,user_attrs_best_gap,user_attrs_best_score,user_attrs_best_val_f1,state
0,0.7415009902193898,2026-04-21 17:50:54.835399,2026-04-21 17:51:06.510235,0 days 00:00:11.674836,128,0.75,0.6031616510212273,1.2567663137948073,48,0.21039025411012308,0.08172118130312142,0.00029259165815356206,0.46863266000822046,1,0.00020366442026830908,0.0,0.7415009902193898,0.7415009902193898,COMPLETE
1,0.7484042361085909,2026-04-21 17:51:06.511616,2026-04-21 17:51:20.088268,0 days 00:00:13.576652,128,0.75,0.3698858237554259,2.351884846304383,48,0.17998205344476406,0.1674275491797984,0.00022472426780406697,0.41658655598791905,2,0.004093813608598782,0.007611251305242206,0.7484042361085909,0.7484042361085909,COMPLETE
2,0.7488537409670392,2026-04-21 17:51:20.089475,2026-04-21 17:51:28.238071,0 days 00:00:08.148596,128,1.0,0.5318827995238937,2.2527582905987082,128,0.10909887663129383,0.13164299639788446,0.0008020483900081042,0.38403060953001483,1,0.003946212980759096,0.004623076663867076,0.7488537409670392,0.7488537409670392,COMPLETE
3,0.7636889690624927,2026-04-21 17:51:28.239196,2026-04-21 17:51:36.619533,0 days 00:00:08.380337,256,1.0,0.39832707839058323,1.0077309639730434,128,0.18994362910538695,0.1686284428373218,0.0007979087515611474,0.21341590123864318,1,0.00021757649801197563,0.030719924742395488,0.7636889690624927,0.7639049464852113,COMPLETE
4,0.7541556500517158,2026-04-21 17:51:36.620507,2026-04-21 17:51:44.688515,0 days 00:00:08.068008,256,1.0,0.32224542260010824,1.9985427021121929,96,0.10884381260048176,0.15933345826487258,0.00046610593201744344,0.29633249491203617,1,0.00015965665886173757,0.02598994596653892,0.7541556500517158,0.7541556500517158,COMPLETE
5,0.7459884907876111,2026-04-21 17:51:44.689583,2026-04-21 17:51:58.342202,0 days 00:00:13.652619,128,1.0,0.4100245933767143,1.4056520340792753,48,0.17799974190764595,0.057407618833180754,0.0003013488748156262,0.5584049132667418,2,0.00013514082247401428,0.007737304184642357,0.7459884907876111,0.7459884907876111,COMPLETE
6,0.7592690797548057,2026-04-21 17:51:58.343316,2026-04-21 17:52:08.460418,0 days 00:00:10.117102,128,1.0,0.6136319549732226,1.715046223608592,96,0.11130121624015235,0.10095987053529243,0.0009349934646188284,0.19952336603745452,2,0.0001027570105825669,0.00939266143715023,0.7592690797548057,0.7592690797548057,COMPLETE
7,0.7576794400938572,2026-04-21 17:52:08.461958,2026-04-21 17:52:22.026664,0 days 00:00:13.564706,128,0.5,0.636856553229739,1.0720702517499852,48,0.08812380353887744,0.07736989892022395,0.0005961605643533341,0.3737618276515734,2,0.0007145565133513971,0.0,0.7576794400938572,0.7576794400938572,COMPLETE
8,0.7582437443030524,2026-04-21 17:52:22.027682,2026-04-21 17:52:29.850251,0 days 00:00:07.822569,256,0.5,0.5548757220141509,1.261125914559796,64,0.12872409645173863,0.036931774064309864,0.0008933500726389192,0.4345376237671107,1,0.00035074840789944736,0.008430895071360078,0.7582437443030524,0.7582437443030524,COMPLETE
9,0.670042573309922,2026-04-21 17:52:29.851302,2026-04-21 17:52:33.949995,0 days 00:00:04.098693,128,0.75,0.6278554960578571,2.144111080281702,128,0.04813233045109763,0.1243841379719086,0.00031750282645537115,0.30347985797261634,1,0.0013221876538695291,,,,PRUNED
10,0.7613956380372991,2026-04-21 17:52:33.950982,2026-04-21 17:52:41.820943,0 days 00:00:07.869961,256,1.0,0.45049201947670325,1.6411496924542917,80,0.3108358247487142,0.19870165312825733,0.001128673705074713,0.15679885123123138,1,0.00038116552905785735,0.01950370807084334,0.7613956380372991,0.7613956380372991,COMPLETE
11,0.6845034846302722,2026-04-21 17:52:41.821982,2026-04-21 17:52:44.500325,0 days 00:00:02.678343,256,1.0,0.45202469511474397,1.6847516863848297,80,0.31740567226491917,0.1944773123934131,0.0011976463741425825,0.1549595126354467,1,0.00046459962207741806,,,,PRUNED
12,0.7057779241510639,2026-04-21 17:52:44.501332,2026-04-21 17:52:47.173930,0 days 00:00:02.672598,256,1.0,0.4711779174193167,1.613382234487588,80,0.3468307064417401,0.19757303123755304,0.0011786784612847281,0.2368635575724073,1,0.0002874027935013907,,,,PRUNED
13,0.6792954571500589,2026-04-21 17:52:47.174943,2026-04-21 17:52:49.900417,0 days 00:00:02.725474,256,1.0,0.40851302948696055,1.0444902171490849,32,0.2620936761803972,0.16824477471908983,0.0006061497455038071,0.15309873756123146,1,0.0010501415602176749,,,,PRUNED
14,0.7018360856093121,2026-04-21 17:52:49.901473,2026-04-21 17:52:52.886746,0 days 00:00:02.985273,256,1.0,0.31154042604401294,1.903199434738851,128,0.256432231382144,0.1473732875620097,0.0007228622024497579,0.2616216120299479,1,0.0005158007976068683,,,,PRUNED
15,0.7588500025922086,2026-04-21 17:52:52.887751,2026-04-21 17:53:00.850424,0 days 00:00:07.962673,256,0.5,0.5190992736892639,1.4349583508105026,80,0.010030713387281287,0.18411720880513704,0.001008361126694221,0.20922237743000993,1,0.0002481619547332115,0.04247545131815178,0.7588500025922086,0.7625926379876541,COMPLETE
16,0.6431416982137441,2026-04-21 17:53:00.851454,2026-04-21 17:53:03.512520,0 days 00:00:02.661066,256,1.0,0.42658303151903343,1.864754139629631,32,0.2839192467915419,0.14631384016526777,0.000435254723935651,0.313864242665187,1,0.0022498597947092826,,,,PRUNED
